"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF","Disc"
"86",2010,"HKG","LAO","Lao People's Dem. Rep.","China, Hong Kong SAR",6.279027,"China, Hong Kong SAR","Lao People's Dem. Rep.",27.182257,-3.32905560049352,-20.90323
"87",2010,"HKG","MMR","Myanmar","China, Hong Kong SAR",5.078756,"China, Hong Kong SAR","Myanmar",53.562752,-9.54643144896112,-48.483996
"88",2010,"HKG","MYS","Malaysia","China, Hong Kong SAR",3948.17252,"China, Hong Kong SAR","Malaysia",3326.794716,0.157383650499649,621.377804
"89",2010,"HKG","NZL","New Zealand","China, Hong Kong SAR",106.112252,"China, Hong Kong SAR","New Zealand",493.005916,-3.64607909744485,-386.893664
"90",2010,"HKG","PHL","Philippines","China, Hong Kong SAR",1566.118512,"China, Hong Kong SAR","Philippines",2237.982707,-0.42899958710149,-671.864195
"91",2010,"HKG","RUS","Russian Federation","China, Hong Kong SAR",61.842933,"China, Hong Kong SAR","Russian Federation",1487.757326,-23.0570305098563,-1425.914393
"92",2010,"HKG","SGP","Singapore","China, Hong Kong SAR",3421.836801,"China, Hong Kong SAR","Singapore",7187.683878,-1.10053380567404,-3765.847077
"93",2010,"HKG","THA","Thailand","China, Hong Kong SAR",1817.530635,"China, Hong Kong SAR","Thailand",4912.267619,-1.70271516991514,-3094.736984
"94",2010,"HKG","USA","USA","China, Hong Kong SAR",4431.657055,"China, Hong Kong SAR","USA",42816.342836,-8.66147477221701,-38384.685781
"95",2010,"HKG","VNM","Viet Nam","China, Hong Kong SAR",860.38288,"China, Hong Kong SAR","Viet Nam",4387.070657,-4.09897483896937,-3526.687777
"96",2010,"IDN","AUS","Australia","Indonesia",5095.603035,"Indonesia","Australia",4244.396928,0.167047177959772,851.206107
"97",2010,"IDN","BRN","Brunei Darussalam","Indonesia",64.826899,"Indonesia","Brunei Darussalam",60.963938,0.0595888598651001,3.862961
"98",2010,"IDN","CAN","Canada","Indonesia",1227.679327,"Indonesia","Canada",731.910614,0.403825903146449,495.768713
"99",2010,"IDN","CHN","China","Indonesia",20795.18852,"Indonesia","China",15692.611103,0.245372981932457,5102.577417
"100",2010,"IDN","HKG","China, Hong Kong SAR","Indonesia",3042.621258,"Indonesia","China, Hong Kong SAR",2501.411436,0.177876171928067,541.209822
"101",2010,"IDN","IND","India","Indonesia",9695.32924,"Indonesia","India",9915.038943,-0.0226613967985269,-219.709703
"102",2010,"IDN","JPN","Japan","Indonesia",28282.988562,"Indonesia","Japan",25781.813648,0.0884338975889022,2501.174914
"103",2010,"IDN","KHM","Cambodia","Indonesia",175.30258,"Indonesia","Cambodia",217.738372,-0.242071691129703,-42.435792
"104",2010,"IDN","KOR","Rep. of Korea","Indonesia",13985.847547,"Indonesia","Rep. of Korea",12574.640785,0.100902484261864,1411.206762
"105",2010,"IDN","LAO","Lao People's Dem. Rep.","Indonesia",17.010776,"Indonesia","Lao People's Dem. Rep.",5.504451,0.676413880236857,11.506325
"106",2010,"IDN","MMR","Myanmar","Indonesia",203.326594,"Indonesia","Myanmar",284.172034,-0.397613703203035,-80.84544
"107",2010,"IDN","MYS","Malaysia","Indonesia",9151.197412,"Indonesia","Malaysia",9362.332453,-0.0230718485783226,-211.135041000001
"108",2010,"IDN","NZL","New Zealand","Indonesia",467.949877,"Indonesia","New Zealand",396.247297,0.153227051708361,71.70258
"109",2010,"IDN","PHL","Philippines","Indonesia",2469.352792,"Indonesia","Philippines",3180.743422,-0.288087887767476,-711.39063
"110",2010,"IDN","RUS","Russian Federation","Indonesia",1045.546964,"Indonesia","Russian Federation",609.467226,0.417082879119718,436.079738
"111",2010,"IDN","SGP","Singapore","Indonesia",17026.308643,"Indonesia","Singapore",13723.265578,0.19399642836605,3303.043065
"112",2010,"IDN","THA","Thailand","Indonesia",5675.790547,"Indonesia","Thailand",4566.569291,0.195430265936485,1109.221256
"113",2010,"IDN","USA","USA","Indonesia",17394.39267,"Indonesia","USA",14301.875648,0.177788157406245,3092.517022
"114",2010,"IDN","VNM","Viet Nam","Indonesia",1909.1866,"Indonesia","Viet Nam",1946.22054,-0.019397758186654,-37.03394
"115",2010,"IND","AUS","Australia","India",1912.248955,"India","Australia",1650.865377,0.136689094438543,261.383578
"116",2010,"IND","BRN","Brunei Darussalam","India",22.803579,"India","Brunei Darussalam",21.239122,0.0686057657879055,1.564457
"117",2010,"IND","CAN","Canada","India",2062.031071,"India","Canada",1251.410125,0.393117716507968,810.620946
"118",2010,"IND","CHN","China","India",20846.313421,"India","China",17439.991278,0.163401656408397,3406.322143
"119",2010,"IND","HKG","China, Hong Kong SAR","India",9249.658497,"India","China, Hong Kong SAR",9508.276449,-0.0279597297655778,-258.617952000001
"120",2010,"IND","IDN","Indonesia","India",3294.76217,"India","Indonesia",4557.082702,-0.383129484578245,-1262.320532
"121",2010,"IND","JPN","Japan","India",5698.041778,"India","Japan",4805.076573,0.1567144011558,892.965205
"122",2010,"IND","KHM","Cambodia","India",52.514185,"India","Cambodia",61.045949,-0.162465893738996,-8.531764
"123",2010,"IND","KOR","Rep. of Korea","India",5674.455876,"India","Rep. of Korea",3634.463278,0.359504530932756,2039.992598
"124",2010,"IND","LAO","Lao People's Dem. Rep.","India",6.248918,"India","Lao People's Dem. Rep.",8.180227,-0.309062944977035,-1.931309
"125",2010,"IND","MMR","Myanmar","India",161.526804,"India","Myanmar",272.57941,-0.687518128570166,-111.052606
"126",2010,"IND","MYS","Malaysia","India",2483.597009,"India","Malaysia",3555.311769,-0.431517172921511,-1071.71476
"127",2010,"IND","NZL","New Zealand","India",266.061433,"India","New Zealand",188.761756,0.290533190505668,77.299677
"128",2010,"IND","PHL","Philippines","India",569.909395,"India","Philippines",801.607043,-0.406551725647548,-231.697648
"129",2010,"IND","RUS","Russian Federation","India",2143.334813,"India","Russian Federation",1393.223349,0.349974002871758,750.111464
"130",2010,"IND","SGP","Singapore","India",9227.885441,"India","Singapore",9066.23008,0.0175181369592818,161.655361000001
"131",2010,"IND","THA","Thailand","India",2252.737814,"India","Thailand",2139.581493,0.0502305773431652,113.156321
"132",2010,"IND","USA","USA","India",30708.29825,"India","USA",23587.441659,0.231887046720344,7120.856591
"133",2010,"IND","VNM","Viet Nam","India",1762.0352,"India","Viet Nam",2475.595566,-0.404963740792465,-713.560366
"134",2010,"JPN","AUS","Australia","Japan",17526.279439,"Japan","Australia",15897.303728,0.0929447528592495,1628.975711
"135",2010,"JPN","BRN","Brunei Darussalam","Japan",252.534155,"Japan","Brunei Darussalam",149.651852,0.40739955749748,102.882303
"136",2010,"JPN","CAN","Canada","Japan",13054.186898,"Japan","Canada",9326.253535,0.285573769713007,3727.933363
"137",2010,"JPN","CHN","China","Japan",176736.084144,"Japan","China",149450.758992,0.154384574514894,27285.325152
"138",2010,"JPN","HKG","China, Hong Kong SAR","Japan",40903.170359,"Japan","China, Hong Kong SAR",42312.418083,-0.0344532639311641,-1409.24772399999
"139",2010,"JPN","IDN","Indonesia","Japan",16965.800792,"Japan","Indonesia",15926.167929,0.0612781486559847,1039.632863
"140",2010,"JPN","IND","India","Japan",8265.086224,"Japan","India",9042.206559,-0.0940244679775284,-777.120335
"141",2010,"JPN","KHM","Cambodia","Japan",156.656971,"Japan","Cambodia",159.400566,-0.0175133923660505,-2.743595
"142",2010,"JPN","KOR","Rep. of Korea","Japan",64295.813008,"Japan","Rep. of Korea",62361.077498,0.0300911586538189,1934.73551
"143",2010,"JPN","LAO","Lao People's Dem. Rep.","Japan",32.626168,"Japan","Lao People's Dem. Rep.",62.301008,-0.9095410775792,-29.67484
"144",2010,"JPN","MMR","Myanmar","Japan",217.203404,"Japan","Myanmar",261.853747,-0.205569259862981,-44.650343
"145",2010,"JPN","MYS","Malaysia","Japan",20704.520362,"Japan","Malaysia",17641.280981,0.147950270155599,3063.239381
"146",2010,"JPN","NZL","New Zealand","Japan",2245.579465,"Japan","New Zealand",1900.536503,0.153654309445691,345.042962
"147",2010,"JPN","PHL","Philippines","Japan",7301.839522,"Japan","Philippines",11064.524927,-0.515306505116041,-3762.685405
"148",2010,"JPN","RUS","Russian Federation","Japan",10259.743284,"Japan","Russian Federation",8026.078629,0.2177115540974,2233.664655
"149",2010,"JPN","SGP","Singapore","Japan",24626.944445,"Japan","Singapore",25230.214564,-0.0244963446580756,-603.270119000001
"150",2010,"JPN","THA","Thailand","Japan",37856.128941,"Japan","Thailand",34191.405634,0.0968066046243553,3664.723307
"151",2010,"JPN","USA","USA","Japan",123762.732645,"Japan","USA",120338.243054,0.0276697962125866,3424.48959099999
"152",2010,"JPN","VNM","Viet Nam","Japan",9016.08609,"Japan","Viet Nam",8172.423107,0.0935730842161913,843.662983000001
"153",2010,"KHM","AUS","Australia","Cambodia",26.112734,"Cambodia","Australia",21.831377,0.163956673399269,4.281357
"154",2010,"KHM","BRN","Brunei Darussalam","Cambodia",0.010277,"Cambodia","Brunei Darussalam",0.026442,-1.5729298433395,-0.016165
"155",2010,"KHM","CAN","Canada","Cambodia",346.983765,"Cambodia","Canada",274.421034,0.20912428280326,72.562731
"156",2010,"KHM","CHN","China","Cambodia",93.627088,"Cambodia","China",65.00758,0.305675511343469,28.619508
"157",2010,"KHM","HKG","China, Hong Kong SAR","Cambodia",22.324571,"Cambodia","China, Hong Kong SAR",1386.446567,-61.1040631419076,-1364.121996
"158",2010,"KHM","IDN","Indonesia","Cambodia",4.72649,"Cambodia","Indonesia",4.168342,0.11808932209737,0.558148
"159",2010,"KHM","IND","India","Cambodia",7.638321,"Cambodia","India",8.033491,-0.0517351915427486,-0.395169999999999
"160",2010,"KHM","JPN","Japan","Cambodia",207.780969,"Cambodia","Japan",89.556574,0.568985675487922,118.224395
"161",2010,"KHM","KOR","Rep. of Korea","Cambodia",43.444682,"Cambodia","Rep. of Korea",24.486331,0.436379094684132,18.958351
"162",2010,"KHM","LAO","Lao People's Dem. Rep.","Cambodia",0.043576,"Cambodia","Lao People's Dem. Rep.",0.88447,-19.2971819350101,-0.840894
"163",2010,"KHM","MMR","Myanmar","Cambodia",0.117166,"Cambodia","Myanmar",0.002134,0.981786525101139,0.115032
"164",2010,"KHM","MYS","Malaysia","Cambodia",32.476059,"Cambodia","Malaysia",19.427641,0.40178575854909,13.048418
"165",2010,"KHM","PHL","Philippines","Cambodia",2.698971,"Cambodia","Philippines",2.645695,0.0197393747468942,0.0532759999999999
"166",2010,"KHM","RUS","Russian Federation","Cambodia",33.704019,"Cambodia","Russian Federation",14.821074,0.560257962114251,18.882945
"167",2010,"KHM","SGP","Singapore","Cambodia",159.64048,"Cambodia","Singapore",429.981027,-1.69343356396824,-270.340547
"168",2010,"KHM","THA","Thailand","Cambodia",214.727532,"Cambodia","Thailand",150.08699,0.301035183508745,64.640542
"169",2010,"KHM","USA","USA","Cambodia",2402.003614,"Cambodia","USA",1905.612021,0.206657304804538,496.391593
"170",2010,"KHM","VNM","Viet Nam","Cambodia",276.62287,"Cambodia","Viet Nam",96.145697,0.652430411845557,180.477173
"171",2010,"KOR","AUS","Australia","Rep. of Korea",6889.100196,"Rep. of Korea","Australia",6641.618687,0.0359236332697984,247.481509
"172",2010,"KOR","BRN","Brunei Darussalam","Rep. of Korea",56.089025,"Rep. of Korea","Brunei Darussalam",65.093019,-0.160530406795269,-9.003994
"173",2010,"KOR","CAN","Canada","Rep. of Korea",5970.679093,"Rep. of Korea","Canada",4101.86206,0.312999074961338,1868.817033
"174",2010,"KOR","CHN","China","Rep. of Korea",138339.223044,"Rep. of Korea","China",116837.804003,0.155425327451502,21501.419041
"175",2010,"KOR","HKG","China, Hong Kong SAR","Rep. of Korea",18143.631371,"Rep. of Korea","China, Hong Kong SAR",25294.018035,-0.394098982601072,-7150.386664
"176",2010,"KOR","IDN","Indonesia","Rep. of Korea",7702.999621,"Rep. of Korea","Indonesia",8897.299151,-0.155043436162724,-1194.29953
"177",2010,"KOR","IND","India","Rep. of Korea",9922.318151,"Rep. of Korea","India",11434.595873,-0.152411734736362,-1512.277722
"178",2010,"KOR","JPN","Japan","Rep. of Korea",28600.524057,"Rep. of Korea","Japan",28176.254575,0.0148343254534233,424.269482
"179",2010,"KOR","KHM","Cambodia","Rep. of Korea",248.129748,"Rep. of Korea","Cambodia",332.99785,-0.342031145737512,-84.868102
"180",2010,"KOR","LAO","Lao People's Dem. Rep.","Rep. of Korea",19.182495,"Rep. of Korea","Lao People's Dem. Rep.",112.252359,-4.85181223818904,-93.069864
"181",2010,"KOR","MMR","Myanmar","Rep. of Korea",252.555113,"Rep. of Korea","Myanmar",478.808973,-0.895859352489134,-226.25386
