"","Year","Partner.ISO","Reporter.ISO","Reporter.x","Partner.x","Import","Reporter.y","Partner.y","Export","DIF"
"109",2015,"IDN","RUS","Russian Federation","Indonesia",1524.148974,"Indonesia","Russian Federation",993.743528,0.348001051765954
"110",2015,"IDN","SGP","Singapore","Indonesia",15189.955958,"Indonesia","Singapore",12632.634348,0.168356091161222
"111",2015,"IDN","THA","Thailand","Indonesia",6563.987372,"Indonesia","Thailand",5507.253044,0.160989695456714
"112",2015,"IDN","USA","USA","Indonesia",20655.128727,"Indonesia","USA",16268.488416,0.212375355727794
"113",2015,"IDN","VNM","Viet Nam","Indonesia",2738.492168,"Indonesia","Viet Nam",2740.178896,-0.00061593311082264
"114",2015,"IND","AUS","Australia","India",3580.674228,"India","Australia",3252.81147,0.0915645314606375
"115",2015,"IND","BRN","Brunei Darussalam","India",36.369292,"India","Brunei Darussalam",30.391574,0.164361681827625
"116",2015,"IND","CAN","Canada","India",3079.217995,"India","Canada",2081.218738,0.324108023082659
"117",2015,"IND","CHN","China","India",13368.553464,"India","China",9576.578798,0.28364883876265
"118",2015,"IND","HKG","China, Hong Kong SAR","India",11022.654577,"India","China, Hong Kong SAR",12146.939702,-0.101997673713367
"119",2015,"IND","IDN","Indonesia","India",2741.418281,"India","Indonesia",2868.880044,-0.0464948249172341
"120",2015,"IND","JPN","Japan","India",4865.168973,"India","Japan",4529.718159,0.0689494683250747
"121",2015,"IND","KHM","Cambodia","India",114.073806,"India","Cambodia",145.346062,-0.274140550723801
"122",2015,"IND","KOR","Rep. of Korea","India",4240.562086,"India","Rep. of Korea",3609.633383,0.14878421544233
"123",2015,"IND","LAO","Lao People's Dem. Rep.","India",14.187956,"India","Lao People's Dem. Rep.",51.26361,-2.61317796587472
"124",2015,"IND","MMR","Myanmar","India",474.04099,"India","Myanmar",859.97273,-0.814131579634073
"125",2015,"IND","MYS","Malaysia","India",3894.746985,"India","Malaysia",4892.061446,-0.256066559609905
"126",2015,"IND","NZL","New Zealand","India",418.526859,"India","New Zealand",313.898013,0.2499931456012
"127",2015,"IND","PHL","Philippines","India",1279.162288,"India","Philippines",1304.346343,-0.0196879279793151
"128",2015,"IND","RUS","Russian Federation","India",2263.052815,"India","Russian Federation",1611.893266,0.287735020890354
"129",2015,"IND","SGP","Singapore","India",5764.944435,"India","Singapore",7805.083993,-0.353887115652659
"130",2015,"IND","THA","Thailand","India",2628.386549,"India","Thailand",3113.562147,-0.184590656265758
"131",2015,"IND","USA","USA","India",46677.949828,"India","USA",40312.702896,0.136365177893519
"132",2015,"IND","VNM","Viet Nam","India",2655.162844,"India","Viet Nam",5357.212587,-1.01765876586664
"133",2015,"JPN","AUS","Australia","Japan",14793.098322,"Japan","Australia",12849.84379,0.131362239992012
"134",2015,"JPN","BRN","Brunei Darussalam","Japan",239.345541,"Japan","Brunei Darussalam",120.289842,0.497421838328712
"135",2015,"JPN","CAN","Canada","Japan",11561.571509,"Japan","Canada",7735.540455,0.330926557087993
"136",2015,"JPN","CHN","China","Japan",142902.572984,"Japan","China",109277.766995,0.235298814338107
"137",2015,"JPN","HKG","China, Hong Kong SAR","Japan",35252.445951,"Japan","China, Hong Kong SAR",35006.278282,0.00698299543078994
"138",2015,"JPN","IDN","Indonesia","Japan",13263.52322,"Japan","Indonesia",11538.966468,0.13002252292962
"139",2015,"JPN","IND","India","Japan",9635.157521,"Japan","India",8109.854905,0.158305934560548
"140",2015,"JPN","KHM","Cambodia","Japan",422.953826,"Japan","Cambodia",302.213604,0.285469038409881
"141",2015,"JPN","KOR","Rep. of Korea","Japan",45853.402628,"Japan","Rep. of Korea",44018.768431,0.0400108627026886
"142",2015,"JPN","LAO","Lao People's Dem. Rep.","Japan",72.127257,"Japan","Lao People's Dem. Rep.",104.5446,-0.449446497043413
"143",2015,"JPN","MMR","Myanmar","Japan",1534.61114,"Japan","Myanmar",1065.433456,0.305730664772836
"144",2015,"JPN","MYS","Malaysia","Japan",13770.979384,"Japan","Malaysia",12003.888811,0.128319890962375
"145",2015,"JPN","NZL","New Zealand","Japan",2389.220598,"Japan","New Zealand",2110.735941,0.116558787929887
"146",2015,"JPN","PHL","Philippines","Japan",6761.333051,"Japan","Philippines",9487.706072,-0.403230102767497
"147",2015,"JPN","RUS","Russian Federation","Japan",6818.556738,"Japan","Russian Federation",5104.33153,0.251405872806862
"148",2015,"JPN","SGP","Singapore","Japan",19195.849786,"Japan","Singapore",19855.330502,-0.0343553801135169
"149",2015,"JPN","THA","Thailand","Japan",31235.861721,"Japan","Thailand",27984.355623,0.104095290440283
"150",2015,"JPN","USA","USA","Japan",135023.800046,"Japan","USA",126387.232489,0.0639632979819682
"151",2015,"JPN","VNM","Viet Nam","Japan",14182.098958,"Japan","Viet Nam",12531.382699,0.116394354875718
"152",2015,"KHM","AUS","Australia","Cambodia",121.613191,"Cambodia","Australia",88.320834,0.273756133904915
"153",2015,"KHM","BRN","Brunei Darussalam","Cambodia",0.045901,"Cambodia","Brunei Darussalam",1.853505,-39.3804927997211
"154",2015,"KHM","CAN","Canada","Cambodia",806.655515,"Cambodia","Canada",551.035209,0.316889057654307
"155",2015,"KHM","CHN","China","Cambodia",666.595118,"Cambodia","China",405.51521,0.3916618963297
"156",2015,"KHM","HKG","China, Hong Kong SAR","Cambodia",241.220578,"Cambodia","China, Hong Kong SAR",181.935973,0.24576926849085
"157",2015,"KHM","IDN","Indonesia","Cambodia",21.127812,"Cambodia","Indonesia",14.554661,0.311113663828512
"158",2015,"KHM","IND","India","Cambodia",42.988881,"Cambodia","India",9.827616,0.771391676838483
"159",2015,"KHM","JPN","Japan","Cambodia",968.544081,"Cambodia","Japan",571.552437,0.409884951844541
"160",2015,"KHM","KOR","Rep. of Korea","Cambodia",216.526549,"Cambodia","Rep. of Korea",137.415028,0.365366378235678
"161",2015,"KHM","LAO","Lao People's Dem. Rep.","Cambodia",0.486913,"Cambodia","Lao People's Dem. Rep.",5.453681,-10.2005245290226
"162",2015,"KHM","MMR","Myanmar","Cambodia",0.532897,"Cambodia","Myanmar",1.46958,-1.75771865857755
"163",2015,"KHM","MYS","Malaysia","Cambodia",152.640832,"Cambodia","Malaysia",134.013966,0.122030689665004
"164",2015,"KHM","NZL","New Zealand","Cambodia",11.883723,"Cambodia","New Zealand",6.224862,0.476185872053733
"165",2015,"KHM","PHL","Philippines","Cambodia",14.603041,"Cambodia","Philippines",17.351386,-0.188203607728007
"166",2015,"KHM","RUS","Russian Federation","Cambodia",106.331562,"Cambodia","Russian Federation",35.353769,0.667513875137092
"167",2015,"KHM","SGP","Singapore","Cambodia",159.996058,"Cambodia","Singapore",58.564386,0.633963569277438
"168",2015,"KHM","THA","Thailand","Cambodia",639.255225,"Cambodia","Thailand",346.200963,0.458430765270632
"169",2015,"KHM","USA","USA","Cambodia",3145.595812,"Cambodia","USA",2136.784183,0.320706056751324
"170",2015,"KHM","VNM","Viet Nam","Cambodia",945.967395,"Cambodia","Viet Nam",185.645412,0.803750728639014
"171",2015,"KOR","AUS","Australia","Rep. of Korea",10895.840476,"Rep. of Korea","Australia",10830.214845,0.00602299851439189
"172",2015,"KOR","BRN","Brunei Darussalam","Rep. of Korea",292.573781,"Rep. of Korea","Brunei Darussalam",272.188248,0.069676554509852
"173",2015,"KOR","CAN","Canada","Rep. of Korea",6448.132425,"Rep. of Korea","Canada",4623.23916,0.28301113325848
"174",2015,"KOR","CHN","China","Rep. of Korea",174506.082802,"Rep. of Korea","China",137123.933792,0.214216882355986
"175",2015,"KOR","HKG","China, Hong Kong SAR","Rep. of Korea",22601.038632,"Rep. of Korea","China, Hong Kong SAR",30418.148265,-0.34587391138441
"176",2015,"KOR","IDN","Indonesia","Rep. of Korea",8427.20594,"Rep. of Korea","Indonesia",7872.404448,0.0658345714997443
"177",2015,"KOR","IND","India","Rep. of Korea",13087.658362,"Rep. of Korea","India",12029.586768,0.080844988823372
"178",2015,"KOR","JPN","Japan","Rep. of Korea",26807.292104,"Rep. of Korea","Japan",25576.45943,0.0459140993885147
"179",2015,"KOR","KHM","Cambodia","Rep. of Korea",459.554107,"Rep. of Korea","Cambodia",652.764797,-0.420430776391691
"180",2015,"KOR","LAO","Lao People's Dem. Rep.","Rep. of Korea",48.445783,"Rep. of Korea","Lao People's Dem. Rep.",170.369485,-2.51670412675547
"181",2015,"KOR","MMR","Myanmar","Rep. of Korea",412.193966,"Rep. of Korea","Myanmar",659.895166,-0.600933590570804
